model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
S-MAX,2020,34498,Semi-Auto,4623,Diesel,145,43.5,2.0,Ford
Golf,2019,12500,Manual,15118,Petrol,145,49.6,1.0,Volkswagen
Fiesta,2017,10300,Manual,7635,Petrol,0,65.7,1.0,Ford
X5,2020,57990,Semi-Auto,1500,Diesel,145,37.7,3.0,BMW
Focus,2013,4500,Manual,97930,Petrol,145,47.9,1.6,Ford
Golf,2016,19998,Manual,21993,Petrol,200,39.8,2.0,Volkswagen
A Class,2017,14500,Manual,53901,Diesel,20,68.9,1.5,Mercedes-Benz
Adam,2015,6295,Manual,42077,Petrol,30,55.4,1.0,Vauxhall
Octavia,2019,12795,Manual,14950,Diesel,145,68.9,1.6,Skoda
Insignia,2018,14299,Manual,43213,Diesel,145,53.3,2.0,Vauxhall
Fabia,2019,11695,Manual,2925,Petrol,150,51.4,1.0,Skoda
Scirocco,2015,14255,Automatic,36213,Diesel,125,53.3,2.0,Volkswagen
Fiesta,2013,5500,Manual,70400,Diesel,0,76.4,1.5,Ford
Focus,2018,13997,Manual,8005,Petrol,145,57.7,1.0,Ford
A Class,2019,124366,Semi-Auto,880,Petrol,145,24.8,4.0,Mercedes-Benz
A Class,2019,22995,Automatic,4023,Petrol,150,53.3,1.3,Mercedes-Benz
Focus,2015,8900,Manual,47393,Diesel,0,74.3,1.5,Ford
Corsa,2017,8750,Manual,6250,Petrol,150,55.4,1.4,Vauxhall
GLC Class,2019,35000,Semi-Auto,5383,Diesel,145,44.8,2.0,Mercedes-Benz
C-HR,2019,23995,Automatic,10880,Hybrid,135,74.3,1.8,Toyota
Supra,2019,59995,Automatic,9909,Other,150,34.5,3.0,Toyota
Fiesta,2018,12377,Manual,30335,Petrol,145,65.7,1.0,Ford
Tucson,2019,15498,Manual,17815,Petrol,145,34.9,1.6,Hyundai
Caravelle,2019,39995,Semi-Auto,12192,Diesel,145,32.8,2.0,Volkswagen
GLA Class,2017,17889,Semi-Auto,42941,Diesel,125,56.6,2.1,Mercedes-Benz
Fiesta,2017,9850,Manual,16730,Petrol,0,65.7,1.0,Ford
Golf,2015,9650,Manual,30554,Diesel,0,88.3,1.6,Volkswagen
Golf,2020,19990,Manual,2500,Diesel,145,57.7,1.6,Volkswagen
GLC Class,2019,42600,Automatic,8491,Diesel,145,40.9,2.0,Mercedes-Benz
I10,2018,7995,Manual,1480,Petrol,150,60.1,1.0,Hyundai
Golf,2017,16995,Semi-Auto,44202,Petrol,20,60.1,1.4,Volkswagen
A4,2018,23295,Semi-Auto,7943,Petrol,145,42.8,2.0,Audi
Fiesta,2018,11500,Manual,12383,Petrol,145,65.7,1.0,Ford
Aygo,2017,6999,Manual,12590,Petrol,0,69.0,1.0,Toyota
4 Series,2016,21985,Automatic,33074,Diesel,160,51.4,3.0,BMW
Polo,2018,14162,Manual,8983,Petrol,145,60.1,1.0,Volkswagen
E Class,2019,49950,Semi-Auto,3139,Petrol,145,31.7,3.0,Mercedes-Benz
I10,2019,9495,Manual,443,Petrol,145,49.6,1.0,Hyundai
Fiesta,2014,6680,Manual,45926,Petrol,0,65.7,1.0,Ford
Fiesta,2018,11750,Manual,8538,Petrol,150,64.2,1.0,Ford
Fiesta,2018,10300,Manual,26995,Petrol,145,64.2,1.1,Ford
Yaris,2017,10498,Manual,9857,Petrol,30,55.0,1.3,Toyota
Golf,2017,11995,Manual,38599,Diesel,0,74.3,1.6,Volkswagen
I30,2016,9998,Manual,12668,Petrol,145,48.7,1.4,Hyundai
Yaris,2010,2978,Manual,79000,Petrol,30,55.4,1.3,Toyota
Grand C-MAX,2017,14500,Manual,4040,Petrol,145,54.3,1.0,Ford
4 Series,2020,42495,Semi-Auto,18,Diesel,150,58.9,2.0,BMW
Kuga,2019,19999,Manual,3457,Petrol,145,35.3,1.5,Ford
Meriva,2014,6560,Manual,21071,Petrol,145,47.1,1.4,Vauxhall
1 Series,2019,22490,Manual,10,Petrol,145,44.1,1.5,BMW
RAV4,2017,19000,Automatic,25981,Petrol,145,43.5,2.0,Toyota
Fabia,2019,8999,Manual,9052,Petrol,150,57.7,1.0,Skoda
Fabia,2018,9891,Manual,8851,Petrol,145,57.7,1.0,Skoda
Mondeo,2015,14991,Automatic,28996,Petrol,240,38.2,2.0,Ford
Astra,2017,11270,Manual,19761,Petrol,125,50.4,1.4,Vauxhall
Mokka,2016,10800,Manual,10525,Diesel,125,60.1,1.6,Vauxhall
Insignia,2019,17999,Manual,1000,Petrol,145,47.1,1.5,Vauxhall
Golf,2019,27500,Semi-Auto,8162,Petrol,145,36.2,2.0,Volkswagen
A1,2017,13490,Manual,30390,Petrol,30,56.5,1.4,Audi
Octavia,2019,13498,Semi-Auto,14113,Petrol,145,61.4,1.0,Skoda
Fiesta,2018,11200,Manual,18600,Petrol,145,56.5,1.0,Ford
A Class,2016,12990,Manual,36000,Diesel,20,68.9,1.5,Mercedes-Benz
Focus,2019,19000,Manual,3400,Petrol,145,60.1,1.0,Ford
Beetle,2015,11000,Manual,37944,Diesel,145,55.4,2.0,Volkswagen
Tiguan,2016,19490,Semi-Auto,17089,Diesel,160,49.6,2.0,Volkswagen
1 Series,2019,15989,Automatic,12212,Petrol,145,55.5,1.5,BMW
A3,2019,19500,Manual,7041,Diesel,145,52.3,1.6,Audi
Fabia,2018,9995,Manual,19782,Petrol,150,64.2,1.0,Skoda
Scirocco,2016,11750,Manual,22000,Petrol,150,47.1,2.0,Volkswagen
GLA Class,2016,16490,Automatic,26145,Diesel,30,64.2,2.1,Mercedes-Benz
Fiesta,2016,6490,Manual,27000,Petrol,125,54.3,1.2,Ford
C-HR,2017,19901,Automatic,31590,Hybrid,140,74.3,1.8,Toyota
Adam,2016,6798,Manual,29278,Petrol,125,53.3,1.2,Vauxhall
Focus,2019,16999,Manual,4714,Diesel,145,57.7,1.5,Ford
Focus,2016,7995,Manual,36500,Petrol,20,60.1,1.0,Ford
C Class,2019,31799,Automatic,999,Petrol,145,46.3,1.5,Mercedes-Benz
