model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
RAV4,2017,14450,Manual,61000,Diesel,150,60.1,2.0,Toyota
Focus,2017,10750,Manual,6245,Petrol,20,60.1,1.0,Ford
C Class,2017,20000,Manual,10500,Diesel,145,62.8,2.1,Mercedes-Benz
Yaris,2017,8490,Manual,21488,Petrol,30,58.0,1.3,Toyota
T-Roc,2019,22990,Semi-Auto,2966,Petrol,145,39.8,1.5,Volkswagen
A8,2017,33330,Automatic,4510,Diesel,145,50.4,3.0,Audi
Yeti Outdoor,2017,11940,Semi-Auto,36482,Petrol,125,51.4,1.2,Skoda
A1,2017,19250,Manual,27209,Petrol,145,39.8,2.0,Audi
Yaris,2018,10000,Manual,31922,Petrol,145,58.9,1.5,Toyota
Polo,2019,11990,Manual,15629,Petrol,150,48.7,1.0,Volkswagen
Q2,2018,21745,Semi-Auto,21177,Petrol,145,52.3,1.4,Audi
Tiguan,2017,24490,Automatic,16953,Diesel,145,49.6,2.0,Volkswagen
Corsa,2017,6750,Manual,27148,Petrol,150,55.4,1.4,Vauxhall
A Class,2016,12800,Manual,53691,Diesel,30,62.8,2.1,Mercedes-Benz
5 Series,2014,17080,Automatic,40267,Diesel,200,48.7,3.0,BMW
5 Series,2013,12200,Automatic,62009,Diesel,145,55.4,2.0,BMW
Golf,2017,12490,Manual,30788,Diesel,145,61.4,1.6,Volkswagen
3 Series,2019,27980,Semi-Auto,7759,Petrol,145,42.2,2.0,BMW
1 Series,2015,13111,Manual,23320,Diesel,20,70.6,2.0,BMW
Astra,2017,11700,Automatic,15861,Petrol,125,51.4,1.4,Vauxhall
Polo,2017,9495,Manual,20084,Petrol,20,60.1,1.0,Volkswagen
Touran,2016,15695,Manual,14100,Diesel,30,61.4,1.6,Volkswagen
Kuga,2019,16600,Manual,145,Petrol,145,40.4,1.5,Ford
Puma,2020,20999,Manual,3952,Petrol,150,50.4,1.0,Ford
Kuga,2016,13500,Manual,32196,Petrol,160,45.6,1.5,Ford
Tiguan,2017,16910,Manual,10363,Petrol,145,46.3,1.4,Volkswagen
A Class,2016,15790,Manual,20565,Diesel,30,62.8,2.1,Mercedes-Benz
C Class,2012,7495,Automatic,115000,Diesel,145,54.3,2.1,Mercedes-Benz
Aygo,2016,6698,Manual,36787,Petrol,0,69.0,1.0,Toyota
Fiesta,2017,9800,Manual,23509,Petrol,145,65.7,1.0,Ford
Fiesta,2018,10498,Manual,9104,Petrol,150,55.4,1.1,Ford
Focus,2017,9999,Automatic,39198,Diesel,145,74.3,1.5,Ford
Jetta,2016,11495,Semi-Auto,19019,Diesel,30,62.8,2.0,Volkswagen
M5,2014,23490,Automatic,55241,Petrol,555,28.5,4.4,BMW
3 Series,2016,12299,Automatic,72280,Diesel,20,70.6,2.0,BMW
Up,2017,6450,Manual,30000,Petrol,20,64.2,1.0,Volkswagen
Tucson,2016,12700,Manual,45910,Diesel,200,47.9,2.0,Hyundai
Octavia,2018,13995,Manual,20098,Petrol,145,56.5,1.5,Skoda
Astra,2017,9995,Automatic,24054,Diesel,30,62.8,1.6,Vauxhall
3 Series,2015,10999,Manual,39245,Diesel,20,68.9,2.0,BMW
Kuga,2019,16950,Manual,11048,Diesel,145,54.3,1.5,Ford
A3,2019,20995,Manual,3325,Diesel,145,49.6,1.6,Audi
Citigo,2017,6999,Manual,13000,Petrol,150,68.9,1.0,Skoda
X7,2020,63990,Semi-Auto,6137,Diesel,145,33.6,3.0,BMW
2 Series,2019,23246,Semi-Auto,6139,Petrol,145,47.9,2.0,BMW
Focus,2015,6990,Manual,72160,Petrol,20,60.1,1.0,Ford
C Class,2017,20599,Automatic,17324,Diesel,145,58.9,2.1,Mercedes-Benz
Corsa,2017,7199,Manual,17002,Petrol,30,54.3,1.4,Vauxhall
Zafira,2013,5999,Manual,26267,Petrol,200,42.2,1.6,Vauxhall
Yaris,2005,2495,Manual,87263,Petrol,145,50.4,1.3,Toyota
C Class,2018,25399,Automatic,18257,Diesel,145,67.3,2.1,Mercedes-Benz
A Class,2019,25701,Automatic,11000,Diesel,150,56.5,2.0,Mercedes-Benz
Focus,2019,15295,Manual,13340,Petrol,145,58.9,1.0,Ford
Focus,2003,495,Manual,177644,Petrol,200,41.5,1.6,Ford
Shuttle,2019,29730,Semi-Auto,8605,Diesel,150,32.8,2.0,Volkswagen
CL Class,2018,19991,Semi-Auto,20297,Petrol,145,53.3,1.6,Mercedes-Benz
Polo,2017,8699,Manual,31837,Petrol,20,60.1,1.0,Volkswagen
I40,2016,10695,Semi-Auto,26876,Diesel,125,56.5,1.7,Hyundai
Up,2020,10250,Manual,1131,Petrol,150,51.4,1.0,Volkswagen
4 Series,2016,14600,Automatic,30556,Diesel,30,62.8,2.0,BMW
C Class,2017,25490,Semi-Auto,9714,Diesel,30,65.7,2.1,Mercedes-Benz
X5,2017,50990,Automatic,10,Diesel,145,47.1,3.0,BMW
Golf SV,2015,11290,Semi-Auto,32280,Diesel,125,65.7,2.0,Volkswagen
Polo,2016,7995,Manual,46440,Petrol,20,60.1,1.2,Volkswagen
Ioniq,2019,23995,Automatic,7865,Hybrid,135,78.5,1.6,Hyundai
E Class,2018,35995,Automatic,8396,Diesel,150,41.5,3.0,Mercedes-Benz
3 Series,2016,22500,Semi-Auto,16890,Diesel,160,51.4,3.0,BMW
Mokka X,2017,10695,Semi-Auto,49100,Petrol,160,43.5,1.4,Vauxhall
Mokka X,2019,14500,Manual,9495,Petrol,145,39.2,1.4,Vauxhall
I20,2014,5995,Manual,48879,Petrol,30,57.6,1.2,Hyundai
C Class,2016,17779,Manual,17757,Petrol,125,53.3,2.0,Mercedes-Benz
Golf,2019,18950,Semi-Auto,4392,Diesel,150,52.3,2.0,Volkswagen
A1,2019,17985,Semi-Auto,2252,Petrol,145,48.7,1.0,Audi
A3,2015,10000,Manual,97370,Petrol,30,57.6,1.4,Audi
Kuga,2017,14900,Manual,20857,Diesel,145,54.3,2.0,Ford
3 Series,2019,28450,Semi-Auto,13998,Petrol,145,42.2,2.0,BMW
A Class,2019,20850,Semi-Auto,12220,Petrol,145,53.3,1.3,Mercedes-Benz
Polo,2014,8750,Manual,39500,Petrol,20,58.9,1.2,Volkswagen
IX20,2016,7798,Manual,36242,Petrol,125,50.4,1.4,Hyundai
Focus,2017,10500,Manual,31350,Diesel,145,74.3,1.5,Ford
EcoSport,2018,12997,Manual,14868,Petrol,145,54.3,1.0,Ford
Polo,2017,10995,Manual,36000,Petrol,145,60.1,1.2,Volkswagen
Mokka X,2019,15495,Manual,3129,Petrol,145,39.2,1.4,Vauxhall
Golf,2020,41990,Semi-Auto,3000,Petrol,145,32.8,2.0,Volkswagen
Octavia,2017,15995,Semi-Auto,40442,Diesel,150,55.4,2.0,Skoda
4 Series,2017,16500,Automatic,62368,Diesel,150,58.9,2.0,BMW
Touran,2019,23750,Semi-Auto,2000,Petrol,145,38.7,1.5,Volkswagen
X3,2019,32281,Automatic,2593,Diesel,145,54.3,2.0,BMW
Yaris,2019,16995,Manual,1225,Petrol,145,47.9,1.5,Toyota
T-Roc,2019,23290,Manual,5540,Petrol,145,42.2,1.5,Volkswagen
Yeti Outdoor,2016,13495,Semi-Auto,8622,Petrol,125,51.4,1.2,Skoda
SL CLASS,2019,49899,Automatic,1279,Petrol,145,36.7,3.0,Mercedes-Benz
Karoq,2018,20125,Manual,18400,Petrol,145,52.3,1.5,Skoda
Fiesta,2019,16790,Manual,8950,Petrol,145,40.3,1.5,Ford
Golf,2018,21990,Semi-Auto,27300,Petrol,145,44.1,2.0,Volkswagen
Astra,2016,9490,Manual,12000,Petrol,125,51.4,1.4,Vauxhall
Adam,2017,7491,Manual,31055,Petrol,145,53.3,1.2,Vauxhall
Passat,2015,11995,Manual,30520,Diesel,20,68.9,2.0,Volkswagen
EcoSport,2017,8849,Manual,19799,Petrol,150,44.8,1.5,Ford
Tiguan,2020,30491,Manual,10136,Diesel,145,47.9,2.0,Volkswagen
Polo,2019,22952,Semi-Auto,6000,Petrol,145,39.8,2.0,Volkswagen
Focus,2019,19798,Automatic,4797,Diesel,145,64.2,2.0,Ford
Up,2018,9790,Manual,3660,Petrol,150,64.2,1.0,Volkswagen
X3,2019,31000,Semi-Auto,17355,Petrol,145,30.4,2.0,BMW
Focus,2017,11489,Manual,26549,Diesel,145,74.3,1.5,Ford
Octavia,2020,19000,Semi-Auto,17,Petrol,150,46.3,1.5,Skoda
Golf,2014,8150,Semi-Auto,65090,Diesel,20,72.4,1.6,Volkswagen
Octavia,2016,7550,Manual,70661,Diesel,0,74.3,1.6,Skoda
Polo,2020,14950,Manual,1968,Petrol,145,47.9,1.0,Volkswagen
Grandland X,2019,17651,Manual,2908,Diesel,145,56.5,1.5,Vauxhall
Viva,2017,6390,Manual,18170,Petrol,20,62.8,1.0,Vauxhall
Astra,2016,8998,Manual,34073,Diesel,0,76.3,1.6,Vauxhall
Q2,2019,26985,Automatic,10,Petrol,145,43.5,1.5,Audi
Golf,2020,28990,Semi-Auto,6000,Petrol,150,37.7,2.0,Volkswagen
Tucson,2019,21990,Automatic,3168,Hybrid,145,50.4,1.6,Hyundai
Golf,2016,8800,Manual,68209,Diesel,0,74.3,1.6,Volkswagen
Q5,2019,31950,Semi-Auto,15516,Diesel,145,55.4,2.0,Audi
5 Series,2019,26980,Automatic,105,Petrol,145,50.4,2.0,BMW
A6,2017,19190,Semi-Auto,43000,Diesel,30,61.4,2.0,Audi
G Class,2017,71995,Automatic,38247,Petrol,145,20.5,5.5,Mercedes-Benz
C Class,2019,33480,Semi-Auto,2330,Diesel,145,57.7,2.0,Mercedes-Benz
Fiesta,2018,7999,Manual,30800,Petrol,145,64.2,1.1,Ford
EcoSport,2018,12900,Manual,7050,Petrol,145,53.3,1.0,Ford
Q2,2019,22990,Manual,3696,Petrol,145,40.9,1.5,Audi
Aygo,2019,10722,Semi-Auto,1421,Petrol,150,56.5,1.0,Toyota
Golf,2019,16500,Manual,6638,Petrol,145,47.1,1.5,Volkswagen
2 Series,2018,19995,Automatic,11805,Hybrid,135,135.5,1.5,BMW
Q3,2019,27490,Manual,3500,Petrol,145,40.9,1.5,Audi
C Class,2019,30516,Automatic,5465,Petrol,145,44.1,2.0,Mercedes-Benz
Meriva,2016,8495,Manual,19045,Petrol,160,44.8,1.4,Vauxhall
Focus,2017,12430,Manual,35050,Diesel,0,74.3,1.5,Ford
A Class,2017,12400,Manual,28572,Petrol,125,52.3,1.6,Mercedes-Benz
1 Series,2019,21340,Automatic,4761,Petrol,145,42.8,1.5,BMW
C Class,2019,19980,Semi-Auto,14379,Petrol,145,46.3,1.5,Mercedes-Benz
Fiesta,2018,11790,Semi-Auto,31476,Petrol,145,54.3,1.0,Ford
Corsa,2016,10695,Automatic,5400,Petrol,145,47.9,1.4,Vauxhall
X3,2019,33262,Semi-Auto,8468,Diesel,145,54.3,2.0,BMW
Fiesta,2016,9495,Manual,14571,Petrol,0,65.7,1.0,Ford
Focus,2016,13500,Manual,36638,Diesel,20,67.3,2.0,Ford
C-HR,2017,20550,Automatic,35914,Hybrid,0,74.3,1.8,Toyota
Fiesta,2018,10991,Manual,24793,Petrol,145,65.7,1.0,Ford
Touareg,2017,21990,Automatic,47000,Diesel,235,42.8,3.0,Volkswagen
C Class,2017,24750,Automatic,14776,Petrol,145,44.1,2.0,Mercedes-Benz
Tiguan,2018,20998,Semi-Auto,4659,Diesel,145,46.3,2.0,Volkswagen
Q2,2018,19500,Manual,13000,Petrol,145,53.3,1.0,Audi
X4,2019,39263,Semi-Auto,6170,Diesel,145,40.9,3.0,BMW
E Class,2016,17940,Semi-Auto,35012,Diesel,30,65.7,2.0,Mercedes-Benz
Astra,2018,10500,Manual,15055,Petrol,145,62.8,1.0,Vauxhall
S-MAX,2017,11295,Manual,111770,Diesel,125,56.5,2.0,Ford
Passat,2020,31790,Manual,1000,Diesel,145,57.7,2.0,Volkswagen
2 Series,2019,21950,Manual,5500,Petrol,145,42.2,1.5,BMW
A3,2017,25000,Semi-Auto,16703,Petrol,200,41.5,2.0,Audi
Passat,2017,16340,Automatic,6000,Diesel,140,61.4,2.0,Volkswagen
GLE Class,2017,29799,Semi-Auto,28719,Diesel,145,47.9,2.1,Mercedes-Benz
2 Series,2016,19999,Semi-Auto,29139,Petrol,205,39.8,3.0,BMW
Fiesta,2019,15995,Manual,1044,Petrol,145,60.1,1.0,Ford
Corsa,2013,5298,Manual,55259,Petrol,125,51.4,1.2,Vauxhall
3 Series,2013,8490,Manual,68578,Diesel,30,61.4,2.0,BMW
Kamiq,2019,16990,Manual,2287,Petrol,145,49.6,1.0,Skoda
Fiesta,2015,8288,Manual,14653,Petrol,0,65.7,1.0,Ford
3 Series,2014,11740,Manual,81838,Diesel,125,57.6,2.0,BMW
Focus,2018,13500,Manual,25535,Diesel,150,74.3,1.5,Ford
Astra,2017,7000,Manual,83810,Diesel,150,85.6,1.6,Vauxhall
Astra,2013,5795,Manual,65206,Diesel,30,62.8,2.0,Vauxhall
T-Cross,2019,17990,Manual,3200,Petrol,145,47.9,1.0,Volkswagen
Golf,2016,13592,Manual,15615,Petrol,30,53.3,1.4,Volkswagen
Yaris,2019,9950,Manual,10225,Petrol,150,56.5,1.0,Toyota
1 Series,2013,11400,Manual,59824,Diesel,125,58.9,2.0,BMW
3 Series,2019,26480,Semi-Auto,6018,Diesel,150,52.3,2.0,BMW
Focus,2019,15540,Manual,11881,Petrol,145,60.1,1.0,Ford
2 Series,2016,12299,Manual,39613,Diesel,30,65.7,2.0,BMW
Astra,2019,11998,Manual,12424,Petrol,150,48.7,1.0,Vauxhall
Kuga,2015,14000,Manual,51279,Diesel,145,54.3,2.0,Ford
A4,2019,32485,Automatic,10,Diesel,145,50.4,2.0,Audi
Focus,2014,5500,Manual,75170,Petrol,30,56.5,1.0,Ford
i8,2019,74226,Automatic,10,Hybrid,135,141.2,1.5,BMW
I10,2019,8899,Manual,3123,Petrol,145,49.6,1.0,Hyundai
Q5,2016,21495,Semi-Auto,34821,Diesel,200,47.1,2.0,Audi
Viva,2018,8000,Semi-Auto,7032,Petrol,145,62.8,1.0,Vauxhall
2 Series,2017,14299,Automatic,69241,Diesel,125,60.1,2.0,BMW
Octavia,2018,11795,Manual,41484,Diesel,145,68.9,1.6,Skoda
C Class,2019,26449,Semi-Auto,7382,Petrol,145,47.1,1.5,Mercedes-Benz
Octavia,2018,11100,Manual,32299,Petrol,145,57.7,1.5,Skoda
Zafira,2017,11990,Manual,8503,Petrol,145,41.5,1.4,Vauxhall
EcoSport,2018,12500,Manual,9963,Petrol,145,54.3,1.0,Ford
Fiesta,2019,11185,Manual,20707,Diesel,150,55.4,1.5,Ford
Q2,2018,19450,Manual,18254,Diesel,150,61.4,1.6,Audi
3 Series,2016,12000,Manual,42119,Diesel,30,67.3,2.0,BMW
Puma,2020,21495,Manual,10,Petrol,145,50.4,1.0,Ford
Fiesta,2013,6570,Manual,33026,Petrol,30,54.3,1.2,Ford
C Class,2019,29480,Semi-Auto,13757,Petrol,145,44.1,1.5,Mercedes-Benz
Fiesta,2016,7690,Manual,19131,Petrol,125,54.3,1.2,Ford
Golf,2019,22998,Manual,18843,Petrol,150,37.2,2.0,Volkswagen
Q3,2019,26000,Manual,1000,Diesel,145,42.8,2.0,Audi
T-Roc,2019,22989,Manual,6256,Diesel,145,50.4,1.6,Volkswagen
A Class,2019,20449,Semi-Auto,11056,Petrol,150,28.5,1.3,Mercedes-Benz
C Class,2016,27444,Automatic,36815,Petrol,260,35.8,3.0,Mercedes-Benz
Focus,2019,14495,Manual,8131,Petrol,145,58.9,1.0,Ford
Santa Fe,2016,16499,Automatic,29448,Diesel,260,41.5,2.2,Hyundai
Up,2020,10990,Manual,2870,Petrol,145,51.4,1.0,Volkswagen
Yaris,2018,13995,Automatic,9114,Hybrid,135,76.3,1.5,Toyota
Mokka X,2016,12995,Automatic,6198,Petrol,160,43.5,1.4,Vauxhall
Tucson,2017,13195,Manual,27563,Diesel,30,61.7,1.7,Hyundai
Q3,2016,15700,Manual,52074,Diesel,145,56.5,2.0,Audi
Focus,2016,11500,Semi-Auto,6474,Petrol,125,51.4,1.0,Ford
C Class,2019,23495,Automatic,12449,Petrol,145,45.6,1.5,Mercedes-Benz
Zafira,2016,11590,Manual,9941,Petrol,200,42.2,1.4,Vauxhall
A6,2017,22995,Semi-Auto,24336,Diesel,145,61.4,2.0,Audi
Golf,2017,13490,Manual,16370,Petrol,30,53.3,1.4,Volkswagen
GLB Class,2020,39980,Semi-Auto,349,Diesel,145,46.3,2.0,Mercedes-Benz
E Class,2016,18698,Semi-Auto,31131,Diesel,145,54.3,3.0,Mercedes-Benz
Polo,2019,11690,Manual,11631,Petrol,145,48.7,1.0,Volkswagen
X5,2015,29241,Automatic,35552,Diesel,205,47.1,3.0,BMW
A5,2018,22990,Manual,25448,Petrol,145,48.7,2.0,Audi
RAV4,2017,21500,Automatic,27751,Hybrid,20,55.4,2.5,Toyota
CL Class,2017,17420,Manual,31886,Diesel,145,67.3,2.1,Mercedes-Benz
Golf,2016,14990,Manual,23561,Petrol,20,60.1,1.4,Volkswagen
A1,2019,23450,Automatic,3700,Petrol,145,40.9,2.0,Audi
Yaris,2017,14495,Automatic,8102,Hybrid,0,78.0,1.5,Toyota
A4,2016,22990,Semi-Auto,30294,Diesel,125,60.1,3.0,Audi
C Class,2017,20490,Semi-Auto,50232,Diesel,20,67.3,2.1,Mercedes-Benz
EcoSport,2019,13399,Manual,9168,Diesel,145,67.3,1.5,Ford
T-Roc,2018,18591,Manual,7512,Petrol,145,55.4,1.0,Volkswagen
A Class,2019,26480,Semi-Auto,1998,Petrol,145,28.5,2.0,Mercedes-Benz
Fiesta,2019,14499,Manual,4266,Petrol,145,58.9,1.0,Ford
A1,2016,10999,Manual,22150,Diesel,0,76.3,1.6,Audi
Golf,2016,12995,Manual,15876,Petrol,30,53.3,1.4,Volkswagen
Puma,2020,23999,Manual,1137,Petrol,145,50.4,1.0,Ford
Focus,2016,10300,Manual,21117,Petrol,20,60.1,1.0,Ford
A4,2011,15888,Automatic,74000,Petrol,325,29.4,3.0,Audi
X5,2019,44980,Semi-Auto,7383,Diesel,145,37.7,3.0,BMW
Fiesta,2019,12100,Manual,3500,Petrol,145,58.9,1.0,Ford
Astra,2016,8298,Manual,42085,Petrol,125,51.4,1.4,Vauxhall
Octavia,2015,7995,Semi-Auto,93300,Diesel,30,64.2,2.0,Skoda
Focus,2018,11000,Manual,10822,Petrol,145,60.1,1.0,Ford
Astra,2019,12490,Manual,9556,Petrol,150,48.7,1.0,Vauxhall
5 Series,2020,29990,Semi-Auto,103,Hybrid,145,60.1,2.0,BMW
Yeti,2016,12299,Semi-Auto,33033,Petrol,125,51.4,1.2,Skoda
3 Series,2016,16699,Automatic,45089,Hybrid,0,134.5,2.0,BMW
Corsa,2014,6199,Manual,29037,Petrol,125,51.4,1.2,Vauxhall
3 Series,2016,14295,Automatic,94810,Hybrid,0,134.5,2.0,BMW
Golf,2019,21999,Automatic,11777,Petrol,145,44.8,2.0,Volkswagen
Focus,2017,11400,Manual,15000,Petrol,20,61.4,1.0,Ford
Passat,2017,14689,Manual,26664,Diesel,20,68.9,2.0,Volkswagen
A Class,2013,10891,Manual,30308,Diesel,20,72.4,1.5,Mercedes-Benz
I10,2015,6800,Manual,22211,Petrol,20,60.1,1.0,Hyundai
3 Series,2014,9900,Automatic,63223,Diesel,20,68.9,2.0,BMW
Tiguan,2015,17291,Semi-Auto,21591,Diesel,165,49.6,2.0,Volkswagen
X5,2015,28000,Automatic,36174,Diesel,205,47.1,3.0,BMW
Adam,2019,13499,Manual,1296,Petrol,145,44.8,1.2,Vauxhall
Focus,2013,6495,Manual,50500,Petrol,30,56.5,1.0,Ford
4 Series,2019,25850,Semi-Auto,101,Petrol,145,48.7,2.0,BMW
Polo,2019,15490,Manual,5938,Petrol,145,52.3,1.0,Volkswagen
Tucson,2016,11998,Manual,41350,Diesel,30,61.7,1.7,Hyundai
Focus,2016,10000,Manual,39417,Diesel,0,74.3,1.5,Ford
Golf,2019,16790,Automatic,14017,Petrol,145,45.6,1.0,Volkswagen
Citigo,2016,4999,Manual,48117,Petrol,20,64.2,1.0,Skoda
Astra,2016,8775,Manual,22285,Petrol,160,47.1,1.4,Vauxhall
Mokka,2015,9300,Manual,26102,Diesel,30,60.1,1.7,Vauxhall
Golf,2015,14299,Manual,44000,Diesel,20,67.3,2.0,Volkswagen
Corsa,2018,10090,Manual,9226,Petrol,145,43.5,1.4,Vauxhall
3 Series,2012,10500,Automatic,84000,Diesel,30,62.8,2.0,BMW
Ka+,2018,7795,Manual,15345,Petrol,145,57.7,1.2,Ford
C Class,2017,24000,Automatic,17030,Diesel,125,58.9,2.1,Mercedes-Benz
Mokka X,2017,13499,Automatic,3174,Petrol,145,43.5,1.4,Vauxhall
Arteon,2019,33450,Automatic,8092,Diesel,145,37.7,2.0,Volkswagen
I30,2016,8798,Manual,33503,Petrol,145,48.7,1.4,Hyundai
Ioniq,2018,16990,Automatic,12306,Hybrid,140,78.5,1.6,Hyundai
Golf,2019,28950,Semi-Auto,4764,Petrol,145,36.2,2.0,Volkswagen
A5,2019,26450,Semi-Auto,4750,Petrol,145,39.8,2.0,Audi
X5,2019,46996,Automatic,6891,Diesel,145,37.7,3.0,BMW
Yeti Outdoor,2017,13495,Semi-Auto,17444,Petrol,125,51.4,1.2,Skoda
Fiesta,2010,5490,Manual,17733,Petrol,150,47.9,1.6,Ford
Yaris,2017,11490,Automatic,20453,Petrol,145,60.1,1.5,Toyota
A Class,2019,20398,Automatic,8901,Diesel,145,56.5,2.0,Mercedes-Benz
C Class,2019,33995,Automatic,4788,Petrol,145,42.8,2.0,Mercedes-Benz
Kodiaq,2020,25790,Manual,8054,Diesel,145,52.3,2.0,Skoda
A3,2016,9500,Manual,117740,Petrol,30,57.6,1.4,Audi
Focus,2019,16498,Manual,9970,Diesel,145,62.8,2.0,Ford
Fiesta,2017,11495,Manual,11476,Petrol,145,65.7,1.0,Ford
Golf,2010,6675,Manual,80000,Diesel,125,57.6,2.0,Volkswagen
IX35,2015,7450,Manual,63917,Diesel,150,53.3,1.7,Hyundai
Astra,2009,3495,Manual,66427,Diesel,125,55.4,1.2,Vauxhall
Kuga,2019,18280,Manual,4195,Diesel,145,54.3,1.5,Ford
Fiesta,2013,5698,Manual,70048,Petrol,0,65.7,1.0,Ford
Fiesta,2018,9998,Manual,2332,Petrol,145,55.4,1.1,Ford
5 Series,2019,26771,Semi-Auto,6260,Petrol,150,50.4,2.0,BMW
Tiguan,2016,17990,Manual,28074,Diesel,160,50.4,2.0,Volkswagen
Ka+,2019,8991,Manual,14286,Petrol,150,47.9,1.2,Ford
GLA Class,2014,16490,Automatic,47550,Petrol,200,42.8,2.0,Mercedes-Benz
Yaris,2018,10000,Manual,32996,Petrol,145,47.1,1.5,Toyota
Arteon,2019,27498,Manual,40,Diesel,150,52.3,2.0,Volkswagen
Aygo,2016,7995,Manual,10439,Petrol,0,69.0,1.0,Toyota
Octavia,2019,20567,Manual,52,Petrol,145,51.4,1.5,Skoda
Auris,2015,11995,Automatic,11270,Hybrid,0,74.3,1.8,Toyota
A Class,2019,22980,Semi-Auto,8899,Diesel,145,67.3,1.5,Mercedes-Benz
KA,2014,3595,Manual,53332,Petrol,30,57.7,1.2,Ford
Focus,2019,17780,Manual,10944,Diesel,145,62.8,1.5,Ford
A4,2017,15700,Manual,17789,Petrol,145,52.3,1.4,Audi
Focus,2019,18495,Manual,6771,Petrol,145,60.1,1.0,Ford
Fabia,2019,10395,Manual,3000,Petrol,145,57.7,1.0,Skoda
Ioniq,2018,18498,Automatic,7999,Hybrid,135,78.5,1.6,Hyundai
5 Series,2016,12800,Automatic,57790,Diesel,30,65.7,2.0,BMW
Superb,2017,14499,Automatic,18391,Petrol,145,53.3,1.4,Skoda
Octavia,2016,11998,Semi-Auto,13756,Petrol,20,61.4,1.0,Skoda
Focus,2017,17000,Manual,26041,Diesel,145,67.3,2.0,Ford
1 Series,2017,11500,Manual,47674,Diesel,145,68.9,2.0,BMW
E Class,2015,17480,Semi-Auto,32093,Diesel,145,54.3,3.0,Mercedes-Benz
1 Series,2019,16980,Manual,12,Diesel,145,68.9,2.0,BMW
Agila,2014,3595,Manual,45400,Petrol,20,60.1,1.0,Vauxhall
Zafira,2017,10998,Manual,33610,Petrol,145,41.5,1.4,Vauxhall
Citigo,2017,7495,Manual,17600,Petrol,145,64.2,1.0,Skoda
GLA Class,2015,14498,Manual,41042,Diesel,20,64.2,2.1,Mercedes-Benz
Mokka X,2017,10495,Manual,27494,Petrol,145,47.1,1.4,Vauxhall
A3,2017,12400,Manual,39825,Petrol,145,60.1,1.0,Audi
Fiesta,2020,14995,Manual,8,Petrol,145,56.5,1.0,Ford
C Class,2020,39309,Semi-Auto,1000,Diesel,145,46.3,2.0,Mercedes-Benz
Astra,2017,10920,Manual,24192,Petrol,160,46.3,1.6,Vauxhall
Aygo,2009,3470,Manual,44000,Petrol,20,62.8,1.0,Toyota
Astra,2020,15998,Manual,10,Petrol,145,54.3,1.2,Vauxhall
Polo,2018,11295,Manual,17306,Petrol,145,60.1,1.0,Volkswagen
Corsa,2019,10990,Manual,497,Petrol,145,43.5,1.4,Vauxhall
Golf,2016,7769,Manual,72473,Petrol,30,57.6,1.2,Volkswagen
Aygo,2017,8200,Manual,17571,Petrol,0,68.9,1.0,Toyota
GTC,2018,19998,Manual,4646,Petrol,145,36.2,2.0,Vauxhall
Focus,2017,11202,Manual,26500,Petrol,150,60.1,1.0,Ford
Passat,2013,7691,Manual,48179,Diesel,30,61.4,2.0,Volkswagen
GLE Class,2019,53990,Automatic,5000,Diesel,145,36.7,3.0,Mercedes-Benz
Mokka,2014,7390,Manual,46755,Petrol,200,43.5,1.6,Vauxhall
Aygo,2018,7000,Manual,12420,Petrol,145,69.0,1.0,Toyota
A Class,2019,19302,Semi-Auto,14123,Diesel,145,65.7,1.5,Mercedes-Benz
I30,2019,14998,Manual,3398,Petrol,145,41.5,1.4,Hyundai
Aygo,2018,8282,Manual,12736,Petrol,150,68.9,1.0,Toyota
Focus,2016,10250,Manual,29705,Petrol,20,60.1,1.0,Ford
RAV4,2019,32990,Automatic,5944,Hybrid,135,49.6,2.5,Toyota
Scirocco,2015,9475,Manual,90000,Diesel,30,53.3,2.0,Volkswagen
A1,2016,9190,Manual,26584,Petrol,0,67.3,1.0,Audi
A3,2017,13395,Manual,38000,Petrol,145,60.1,1.4,Audi
Q7,2016,44880,Semi-Auto,49233,Diesel,300,39.2,4.0,Audi
4 Series,2019,31210,Automatic,4300,Diesel,145,53.3,3.0,BMW
Aygo,2018,9495,Manual,5253,Petrol,145,56.5,1.0,Toyota
A5,2018,20310,Semi-Auto,14863,Petrol,145,53.3,1.4,Audi
Golf,2017,14500,Manual,14800,Petrol,30,53.3,1.4,Volkswagen
Focus,2016,9500,Manual,46000,Diesel,0,74.3,1.5,Ford
Astra,2016,8999,Manual,35824,Petrol,125,51.4,1.4,Vauxhall
CC,2015,12999,Semi-Auto,32878,Diesel,125,56.5,2.0,Volkswagen
California,2019,57991,Automatic,7259,Diesel,260,33.2,2.0,Volkswagen
Fabia,2018,9995,Manual,12497,Petrol,150,64.2,1.0,Skoda
Insignia,2017,11795,Manual,45000,Diesel,145,54.3,2.0,Vauxhall
5 Series,2017,23880,Automatic,6002,Hybrid,140,156.9,2.0,BMW
Golf,2019,19290,Automatic,7911,Petrol,145,44.8,1.5,Volkswagen
Octavia,2019,18995,Automatic,1000,Petrol,145,46.3,1.5,Skoda
Tiguan,2020,29999,Automatic,2728,Diesel,145,47.9,2.0,Volkswagen
Corsa,2016,6500,Manual,39308,Petrol,30,55.4,1.4,Vauxhall
